frame x y z pitch-Y yaw-Z roll-X
019408 27.887478 -5.600275 -0.004222 -0.001770 0.014733 -179.985214
019409 27.750980 -5.603599 -0.001799 -0.007660 0.077133 -179.852203
019410 27.507856 -5.609785 -0.000387 -0.009308 0.100076 -179.627670
019411 27.190704 -5.618354 0.000408 -0.008820 0.098204 -179.374741
019412 26.810043 -5.629236 0.000829 -0.007996 0.090807 -179.113785
019413 26.371572 -5.642537 0.001048 -0.007202 0.083315 -178.861649
019414 25.878029 -5.658383 0.001341 -0.006531 0.077407 -178.627899
019415 25.343786 -5.676345 0.001619 -0.005188 0.061233 -178.421890
019416 24.790104 -5.695836 0.001668 -0.004608 0.047921 -178.245453
019417 24.201757 -5.735047 0.001626 -0.065002 0.047490 -177.244141
019418 23.572121 -5.826952 0.001569 -0.152527 0.052388 -174.490402
019419 22.901930 -5.967961 0.001536 -0.148773 0.055297 -171.200699
019420 22.195431 -6.167704 0.001528 -0.205505 0.055263 -167.217270
019421 21.454994 -6.430270 0.001507 -0.191101 0.057988 -163.137863
019422 20.693455 -6.762449 0.001540 -0.238739 0.052183 -158.633942
019423 19.954803 -7.167815 0.001676 -0.273285 0.028940 -153.346176
019424 19.266945 -7.627318 0.001830 -0.275391 0.002507 -148.092667
019425 18.627178 -8.118726 0.001921 -0.223816 -0.013121 -143.880051
019426 18.031490 -8.634936 0.001961 -0.207825 -0.019835 -140.371017
019427 17.463121 -9.173152 0.001929 -0.159302 -0.014043 -137.665680
019428 16.899702 -9.734200 0.001857 -0.116547 -0.000731 -135.852341
019429 16.332180 -10.319855 0.001803 -0.086761 0.010525 -134.589340
019430 15.763804 -10.921583 0.001806 -0.064514 0.011406 -133.684814
019431 15.191333 -11.512492 0.001871 0.009546 0.002780 -133.908279
019432 14.619888 -12.082910 0.001943 0.018753 -0.005983 -134.643646
019433 14.055002 -12.640992 0.001980 0.012465 -0.009555 -135.133804
019434 13.490559 -13.194742 0.001971 0.008681 -0.005403 -135.433929
019435 12.918128 -13.753002 0.001938 0.006490 0.003121 -135.639679
019436 12.334483 -14.319542 0.001919 0.004608 0.009378 -135.793457
019437 11.732961 -14.875791 0.001941 0.065796 0.007295 -136.803223
019438 11.116879 -15.409176 0.001980 0.072433 0.001120 -138.385147
019439 10.487536 -15.909530 0.002025 0.119261 -0.006530 -140.564331
019440 9.844714 -16.379143 0.002032 0.109116 -0.007998 -142.827835
019441 9.181116 -16.816481 0.002020 0.144473 -0.005833 -145.439575
019442 8.492637 -17.228262 0.001972 0.128360 0.000314 -147.968369
019443 7.777379 -17.609535 0.001932 0.156382 0.001912 -150.744446
019444 7.042509 -17.961424 0.001909 0.135318 0.000499 -153.337234
019445 6.295005 -18.275747 0.001925 0.157897 -0.005314 -156.084457
019446 5.538509 -18.541555 0.001939 0.176521 -0.009952 -159.269562
019447 4.774395 -18.773470 0.001909 0.144026 -0.007998 -161.975723
019448 3.998968 -18.969913 0.001871 0.156604 -0.004426 -164.649017
019449 3.210527 -19.137709 0.001834 0.130056 0.000396 -166.992661
019450 2.411412 -19.269161 0.001836 0.155636 0.000499 -169.579361
019451 1.606741 -19.368153 0.001842 0.130998 -0.000307 -171.987152
019452 0.801700 -19.431341 0.001863 0.147514 -0.003483 -174.489288
019453 -0.001975 -19.464869 0.001868 0.121645 -0.004276 -176.702072
019454 -0.803878 -19.463705 0.001871 0.142308 -0.004733 -179.082153
019455 -1.606654 -19.433180 0.001856 0.118974 -0.002227 178.748398
019456 -2.409621 -19.367813 0.001851 0.142175 -0.001223 176.361191
019457 -3.212415 -19.272512 0.001843 0.119672 0.000109 174.159958
019458 -4.010000 -19.142368 0.001853 0.143358 -0.001591 171.740021
019459 -4.800949 -18.982496 0.001857 0.121180 -0.002227 169.505249
019460 -5.581479 -18.788351 0.001867 0.144786 -0.003907 167.057587
019461 -6.353526 -18.564495 0.001861 0.122933 -0.002903 164.792191
019462 -7.114918 -18.306135 0.001860 0.146510 -0.002746 162.310837
019463 -7.867709 -18.017679 0.001850 0.124718 -0.001011 160.012177
019464 -8.607385 -17.695280 0.001854 0.147745 -0.001619 157.504074
019465 -9.334404 -17.344061 0.001852 0.125869 -0.001407 155.186447
019466 -10.043417 -16.961020 0.001862 0.148110 -0.003026 152.671219
019467 -10.736308 -16.550833 0.001860 0.126416 -0.002718 150.350113
019468 -11.409041 -16.110113 0.001863 0.148230 -0.003299 147.832886
019469 -12.055464 -15.633642 0.001865 0.163421 -0.003572 144.902527
019470 -12.685315 -15.130980 0.001852 0.131978 -0.001434 142.440033
019471 -13.297347 -14.603126 0.001849 0.133643 -0.000826 140.152740
019472 -13.894077 -14.056342 0.001848 0.107452 -0.000704 138.253159
019473 -14.469050 -13.489530 0.001859 0.122611 -0.002473 136.233490
019474 -15.025401 -12.907005 0.001860 0.100848 -0.002807 134.427383
019475 -15.558247 -12.305364 0.001863 0.122842 -0.003326 132.390915
019476 -16.072144 -11.686395 0.001853 0.102920 -0.001653 130.506119
019477 -16.561792 -11.046729 0.001852 0.128368 -0.001311 128.352081
019478 -17.030365 -10.389160 0.001845 0.108867 -0.000219 126.332718
019479 -17.470985 -9.712871 0.001853 0.135015 -0.001530 124.047485
019480 -17.886486 -9.021400 0.001853 0.115148 -0.001680 121.905457
019481 -18.270679 -8.314115 0.001862 0.140611 -0.003115 119.517311
019482 -18.627689 -7.592922 0.001857 0.120252 -0.002322 117.285652
019483 -18.952074 -6.856678 0.001860 0.144779 -0.002623 114.823082
019484 -19.248196 -6.107064 0.001852 0.123916 -0.001311 112.530380
019485 -19.510235 -5.344582 0.001856 0.147284 -0.001988 110.022774
019486 -19.742378 -4.571856 0.001853 0.126029 -0.001530 107.698875
019487 -19.932613 -3.790689 0.001870 0.171750 -0.004364 104.873589
019488 -20.065998 -3.002578 0.001880 0.196532 -0.006072 101.256226
019489 -20.162724 -2.205420 0.001859 0.157679 -0.002623 98.224426
019490 -20.238256 -1.399097 0.001839 0.118593 0.000785 96.139420
019491 -20.296469 -0.588038 0.001837 0.092666 0.001120 94.637794
019492 -20.323681 0.220715 0.001860 0.125134 -0.002746 92.705978
019493 -20.321896 1.024751 0.001871 0.109293 -0.004576 90.723549
019494 -20.285629 1.824049 0.001876 0.137912 -0.005491 88.405983
019495 -20.218786 2.622810 0.001858 0.118737 -0.002445 86.191628
019496 -20.115614 3.421241 0.001848 0.145597 -0.000676 83.709991
019497 -19.980391 4.219122 0.001837 0.125137 0.001059 81.377068
019498 -19.808836 5.010169 0.001850 0.149330 -0.001011 78.824638
019499 -19.606300 5.792014 0.001858 0.127870 -0.002384 76.458061
019500 -19.369022 6.560163 0.001871 0.150091 -0.004672 73.901466
019501 -19.101572 7.317099 0.001866 0.128561 -0.003757 71.540436
019502 -18.797417 8.059699 0.001866 0.158690 -0.003634 68.869141
019503 -18.444174 8.778605 0.001869 0.193515 -0.004303 65.404091
019504 -18.054274 9.483190 0.001851 0.157948 -0.001284 62.361755
019505 -17.630192 10.172299 0.001848 0.162254 -0.000676 59.542725
019506 -17.180298 10.846720 0.001848 0.129154 -0.000826 57.213898
019507 -16.715651 11.510053 0.001855 0.097961 -0.001953 55.575207
019508 -16.230494 12.152830 0.001870 0.119132 -0.004399 53.707085
019509 -15.727530 12.778285 0.001868 0.099302 -0.004030 51.942467
019510 -15.202650 13.385283 0.001861 0.117346 -0.002841 49.989265
019511 -14.658081 13.979107 0.001844 0.096546 -0.000096 48.229095
019512 -14.090221 14.554069 0.001843 0.120861 0.000232 46.211430
019513 -13.503568 15.111614 0.001843 0.101415 0.000205 44.332245
019514 -12.896935 15.644200 0.001857 0.127763 -0.002165 42.180973
019515 -12.273901 16.154366 0.001860 0.108272 -0.002684 40.163902
019516 -11.631626 16.636736 0.001865 0.135013 -0.003572 37.879330
019517 -10.971427 17.095772 0.001855 0.115103 -0.001858 35.733967
019518 -10.290828 17.526209 0.001853 0.141297 -0.001591 33.333996
019519 -9.592581 17.931561 0.001846 0.120540 -0.000423 31.090384
019520 -8.877123 18.305296 0.001854 0.145335 -0.001769 28.617701
019521 -8.148120 18.650793 0.001855 0.123915 -0.001953 26.321320
019522 -7.405981 18.962214 0.001864 0.147433 -0.003449 23.815489
019523 -6.652404 19.244162 0.001859 0.125816 -0.002623 21.495277
019524 -5.886754 19.486256 0.001868 0.167585 -0.004064 18.722857
019525 -5.109324 19.689806 0.001858 0.148237 -0.002445 15.913578
019526 -4.320747 19.857079 0.001853 0.157755 -0.001653 13.145214
019527 -3.523786 19.995344 0.001847 0.128370 -0.000519 10.799294
019528 -2.722443 20.097769 0.001859 0.149410 -0.002445 8.303845
019529 -1.919377 20.169390 0.001861 0.124440 -0.002930 6.035310
019530 -1.114866 20.221836 0.001858 0.097318 -0.002350 4.364525
019531 -0.310868 20.242004 0.001864 0.130396 -0.003326 2.297576
019532 0.489979 20.215576 0.001869 0.161516 -0.004242 -0.575378
019533 1.291804 20.156342 0.001853 0.133161 -0.001591 -3.117798
019534 2.093055 20.060741 0.001849 0.150848 -0.000854 -5.714146
019535 2.892411 19.934414 0.001845 0.125705 -0.000184 -8.025430
019536 3.684057 19.773119 0.001858 0.146610 -0.002384 -10.499129
019537 4.467185 19.582481 0.001862 0.123032 -0.003053 -12.749560
019538 5.238655 19.358112 0.001869 0.145088 -0.004276 -15.191882
019539 6.001281 19.104549 0.001860 0.122540 -0.002718 -17.437084
019540 6.752764 18.817017 0.001857 0.145544 -0.002227 -19.894161
019541 7.494898 18.500051 0.001847 0.123461 -0.000642 -22.164473
019542 8.222467 18.150150 0.001854 0.146397 -0.001619 -24.644754
019543 8.935920 17.772509 0.001854 0.124477 -0.001742 -26.935225
019544 9.630007 17.364155 0.001864 0.146952 -0.003354 -29.427244
019545 10.307186 16.929417 0.001860 0.125326 -0.002780 -31.729143
019546 10.956977 16.459820 0.001875 0.179788 -0.005314 -34.629765
019547 11.575160 15.951274 0.001867 0.173439 -0.004030 -37.932686
019548 12.179431 15.416587 0.001845 0.136742 -0.000184 -40.464199
019549 12.774146 14.863247 0.001835 0.105217 0.001564 -42.267715
019550 13.358524 14.298092 0.001842 0.081903 0.000287 -43.580868
019551 13.914082 13.714327 0.001875 0.137117 -0.005191 -45.599350
019552 14.435985 13.109434 0.001882 0.130143 -0.006407 -48.071938
019553 14.943447 12.490106 0.001861 0.100104 -0.002930 -49.910286
019554 15.443034 11.856654 0.001836 0.077941 0.001305 -51.230427
019555 15.921380 11.203068 0.001836 0.116012 0.001380 -53.042850
019556 16.376656 10.532902 0.001842 0.103517 0.000389 -54.973591
019557 16.801016 9.846993 0.001862 0.135558 -0.003026 -57.279057
019558 17.197308 9.147884 0.001865 0.117283 -0.003634 -59.499374
019559 17.560627 8.433173 0.001868 0.145327 -0.004119 -61.987152
019560 17.895821 7.702696 0.001853 0.125252 -0.001653 -64.333549
019561 18.197649 6.955324 0.001853 0.150343 -0.000977 -66.910713
019562 18.469875 6.194077 0.001850 0.128783 0.000041 -69.309204
019563 18.698242 5.421872 0.001875 0.183235 -0.004119 -72.288200
019564 18.877840 4.640802 0.001877 0.171150 -0.004884 -75.575844
019565 19.031042 3.850622 0.001862 0.133855 -0.002384 -78.037613
019566 19.164331 3.052611 0.001848 0.106083 -0.000184 -79.841362
019567 19.258766 2.251279 0.001868 0.160098 -0.003326 -82.285049
019568 19.303886 1.450294 0.001874 0.166711 -0.004815 -85.375183
019569 19.318037 0.646478 0.001860 0.137486 -0.002807 -87.925117
019570 19.310131 -0.161265 0.001846 0.108999 -0.000423 -89.826378
019571 19.268728 -0.968227 0.001852 0.136614 -0.001407 -92.031677
019572 19.197716 -1.772408 0.001854 0.116419 -0.001742 -94.152458
019573 19.092163 -2.570390 0.001864 0.141620 -0.003483 -96.532661
019574 18.956831 -3.363206 0.001860 0.119583 -0.002746 -98.745209
019575 18.786592 -4.148991 0.001861 0.144493 -0.002869 -101.187363
019576 18.585899 -4.929368 0.001851 0.122481 -0.001223 -103.455185
